Job Title,Company Name,Location,Schedule,Salary,Date Posted,Apply Link,Apply More Links
Data Analyst,Greenpeace,Brussels,Full-Time,,2025-10-06,https://jobsin.brussels/jobs/greenpeace-senior-data-analyst-campaigns-2025-09/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,"[{'link': 'https://jobsin.brussels/jobs/greenpeace-senior-data-analyst-campaigns-2025-09/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic', 'source': 'jobs in brussels'}, {'link': 'https://www.eujobs.co/jobs/senior-data-analyst-campaigns-at-greenpeace-9dd8a3?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic', 'source': 'eujobs.co'}, {'link': 'https://eububblejobs.com/job/senior-data-analyst-campaigns-2025-september/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic', 'source': 'eu bubble jobs'}]"
Data Analyst,Transport & Environment,Brussels,Full-Time,,2025-10-06,https://jobsin.brussels/jobs/transport-environment-senior-data-analyst-researcher-2025-09/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,"[{'link': 'https://jobsin.brussels/jobs/transport-environment-senior-data-analyst-researcher-2025-09/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic', 'source': 'jobs in brussels'}, {'link': 'https://www.eujobs.co/jobs/senior-data-analyst-researcher-batteries-and-industrial-policy-eu-at-transport-environment-9dd8a7?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic', 'source': 'eujobs.co'}, {'link': 'https://be.bebee.com/job/f5d8e94d40781dea48d142e5e2da1169?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic', 'source': 'bebee'}, {'link': 'https://www.jobijoba.be/annonce/67/24abcd98b7645693f81b3305b8e4d993?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic', 'source': 'www.jobijoba.be'}, {'link': 'https://eububblejobs.com/job/senior-data-analyst-researcher-batteries-and-industrial-policy-eu-2025-september/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic', 'source': 'eu bubble jobs'}, {'link': 'https://www.recruit.net/job/business-process-data-analyst-deadline-jobs/3ef2fd3e6cd6430e?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic', 'source': 'recruit.net'}, {'link': 'https://be.jobeos.com/jobs/view/13837?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic', 'source': 'banen in belgië'}]"
Internship,Ormit Talent Belgium,Brussels,Full-Time,,2025-10-09,https://be.linkedin.com/jobs/view/ormit-talent-data-traineeship-at-ormit-talent-belgium-4308596633?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,"[{'link': 'https://be.linkedin.com/jobs/view/ormit-talent-data-traineeship-at-ormit-talent-belgium-4308596633?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic', 'source': 'linkedin'}, {'link': 'https://ormitbelgium.recruitee.com/o/ormit-talent-data-traineeship-brussels?lang=nl&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic', 'source': 'ormit belgium nv'}, {'link': 'https://be.bebee.com/job/0959978fdb1fbcd151501c6ac57b5013?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic', 'source': 'bebee'}]"
Data Analyst,Bnp Paribas Fortis,Brussels,Full-Time,,2025-09-17,https://group.bnpparibas/en/careers/job-offer/junior-business-auditor-brussels?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,"[{'link': 'https://group.bnpparibas/en/careers/job-offer/junior-business-auditor-brussels?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic', 'source': 'bnp paribas'}, {'link': 'https://emplois.be.indeed.com/viewjob?jk=1f48518a0cbf7bc7&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic', 'source': 'indeed'}, {'link': 'https://www.engagement-jeunes.com/fr/detail-offre/33233912/volontariat-international-en-entreprise-v-i-e-collaboration-betters-the-world-data-analyst-bruxelles-h-f.html?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic', 'source': 'engagement jeunes'}, {'link': 'https://fr.simplyhired.be/job/dp5bkft-e8l7yqpf057kkwuxxspkvn4ehzqn8lvisc7gz-whpgunaa?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic', 'source': 'simplyhired'}, {'link': 'https://www.jobbsquare.be/emploi/travaillerpour-be-data-analyst-au-spf-justice-brussel/3240382/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic', 'source': 'jobbsquare'}, {'link': 'https://www.jobijoba.be/annonce/67/0ee3c3436438e40f479e93e5bb06df0a?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic', 'source': 'www.jobijoba.be'}, {'link': 'https://be.bebee.com/job/38581db67516b848a0665cbc8f482461?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic', 'source': 'bebee'}, {'link': 'https://www.recruit.net/job/data-analyst-au-spf-justice-jobs/636da9c237f4b00a?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic', 'source': 'recruit.net'}]"
Data Analyst,Syner'Ia,Brussels,Full-Time,,2025-10-07,https://be.linkedin.com/jobs/view/data-analyst-cdi-%E2%80%93-belgique-proche-fronti%C3%A8re-fran%C3%A7aise-h-f-at-syner-ia-4308933784?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,"[{'link': 'https://be.linkedin.com/jobs/view/data-analyst-cdi-%e2%80%93-belgique-proche-fronti%c3%a8re-fran%c3%a7aise-h-f-at-syner-ia-4308933784?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic', 'source': 'linkedin'}]"
Data Analyst,Littlebigcode,Brussels,Full-Time,€40k–€70k a year,2025-09-21,https://www.welcometothejungle.com/en/companies/littlebigcode/jobs/data-analyst-m-f_bruxelles?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,"[{'link': 'https://www.welcometothejungle.com/en/companies/littlebigcode/jobs/data-analyst-m-f_bruxelles?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic', 'source': 'welcome to the jungle'}, {'link': 'https://be.linkedin.com/jobs/view/data-analyst-m-f-at-littlebigcode-4023511495?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic', 'source': 'linkedin'}, {'link': 'https://littlebigcode.welcomekit.co/companies/littlebigcode/jobs/data-analyst-m-f_bruxelles?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic', 'source': 'littlebigcode recrute ! trouver les offres d’emploi et de stage'}, {'link': 'https://jobs.weekday.works/littlebigcode-data-analyst-m%2ff?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic', 'source': 'jobs.weekday.works'}]"
Data Analyst,Norriq,Brussels,Full-Time,,2025-10-10,https://career-be.norriq.com/jobs/5788184-data-analyst-data-visualisation?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,"[{'link': 'https://career-be.norriq.com/jobs/5788184-data-analyst-data-visualisation?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic', 'source': 'norriq'}, {'link': 'https://careers.cushmanwakefield.com/fr/emplois/r284054/research-analyst/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic', 'source': 'cushman & wakefield careers'}, {'link': 'https://emplois.be.indeed.com/viewjob?jk=be7ca8c506481e9c&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic', 'source': 'indeed'}, {'link': 'https://be.linkedin.com/jobs/view/data-analyst-data-visualisation-at-norriq-financial-services-4278293870?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic', 'source': 'linkedin'}, {'link': 'https://be.bebee.com/job/5af989e4ae068e3b3e35d2c69ea3cc1e?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic', 'source': 'bebee'}, {'link': 'https://careers.crewnetwork.org/jobs/21610223/research-analyst?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic', 'source': 'crew network (crew), crew network career center'}, {'link': 'https://issgovernance.wd1.myworkdayjobs.com/isscareers/job/brussels-belgium/greek-research-analyst_jr_8034?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic', 'source': 'workday'}, {'link': 'https://fr.simplyhired.be/job/xwvimwjsmyzuwyktsp32k9eq4pxcpxc46nxym8pxfrxt5bdqjguozq?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic', 'source': 'simplyhired'}]"
Data Analyst,Sopra Steria Belgium,Brussels,Full-Time,,2025-10-10,https://careers.soprasteria.be/job/data-analyst-in-flanders-brussels-belgium-jid-5727?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,"[{'link': 'https://careers.soprasteria.be/job/data-analyst-in-flanders-brussels-belgium-jid-5727?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic', 'source': 'sopra steria belgium'}, {'link': 'https://www.extia-group.com/be-fr/join-us/data-analyst?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic', 'source': 'extia'}, {'link': 'https://www.robertwalters.be/nl/salesmarketing/jobs/marketingcommunicatie/1850462-data-analyst.html?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic', 'source': 'robert walters belgium'}, {'link': 'https://jobs.hamiltonbright.nl/jobs/6559413-data-analyst?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic', 'source': 'hamilton bright'}, {'link': 'https://careers.soprasteria.com/job/data-analyst-in-flanders-brussels-belgium-jid-5708?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic', 'source': 'sopra steria'}, {'link': 'https://jobs.equans.be/nl/jobs/74239-data-analyst/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic', 'source': 'equans jobs'}, {'link': 'https://www.vdab.be/vindeenjob/vacatures/71942426/004-data-analyst?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic', 'source': 'vdab'}, {'link': 'https://ag.be/jobs/nl/jobs-en-stages/vacatures/data-analyst-445305?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic', 'source': 'ag.be'}]"
Data Consultant,Confidential,Brussels,-,,2025-10-09,https://be.jooble.org/rjdp/-3071864931398537843?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,"[{'link': 'https://be.jooble.org/rjdp/-3071864931398537843?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic', 'source': 'jooble'}]"
Data Analyst,Linkway,Brussels,Contractor,,2025-10-01,https://www.free-work.com/en-gb/tech/data-analyst-2/job-mission/senior-data-analyst-data-bi-daily-banking?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,"[{'link': 'https://www.free-work.com/en-gb/tech/data-analyst-2/job-mission/senior-data-analyst-data-bi-daily-banking?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic', 'source': 'free-work'}]"
Data Analyst,Projective Group,Antwerp,Full-Time,,2025-10-08,https://be.linkedin.com/jobs/view/data-analyst-5%2B-jaar-ervaring-at-projective-talent-part-of-projective-group-4307216733?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,"[{'link': 'https://be.linkedin.com/jobs/view/data-analyst-5%2b-jaar-ervaring-at-projective-talent-part-of-projective-group-4307216733?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic', 'source': 'linkedin'}]"
Data Consultant,Sthree_Uk,Antwerp,Full-Time,,2025-10-09,https://www.vdab.be/vindeenjob/vacatures/72109602/data-consultant?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,"[{'link': 'https://www.vdab.be/vindeenjob/vacatures/72109602/data-consultant?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic', 'source': 'vdab'}, {'link': 'https://be.linkedin.com/jobs/view/data-consultant-at-computer-futures-4308567615?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic', 'source': 'linkedin'}, {'link': 'https://be.bebee.com/job/c892e0909c423dcbc5c57feab0b636de?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic', 'source': 'bebee'}, {'link': 'https://www.jobilize.com/job/be-antwerpen-data-consultant-alistar-hiring-now-job-immediately-opening?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic', 'source': 'jobilize'}, {'link': 'https://be.clickajobs.com/gfj/10035378?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic', 'source': 'clickajobs'}]"
Data Analyst,The Yuki Company,Antwerp,Full-Time,,2025-10-10,https://jobs.yukisoftware.com/jobs/5917166-data-analyst?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,"[{'link': 'https://jobs.yukisoftware.com/jobs/5917166-data-analyst?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic', 'source': 'the yuki company'}, {'link': 'https://nl.bebee.com/job/9e5396345550667b7fe263c9cdc0924a?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic', 'source': 'bebee'}, {'link': 'https://jobs.alooba.com/nl/job/azpack-data-analyst-850381/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic', 'source': 'jobs - alooba'}, {'link': 'https://jobs.uprotterdam.com/companies/yuki-2/jobs/50821844-data-analyst?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic', 'source': 'up!rotterdam job board'}, {'link': 'https://nl.jobeos.com/jobs/view/12869?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic', 'source': 'banen in nederland'}, {'link': 'https://nl.clickajobs.com/gfj/86630997?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic', 'source': 'clickajobs'}, {'link': 'https://nl.whatjobs.com/data-analyst-jobs?id=105101387&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic', 'source': 'whatjobs'}]"
Data Analyst,Hawaiian Poké Bowl,Antwerp,Full-Time,,2025-09-15,https://jobs.hawaiianpokebowl.be/en/data-analyst?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,"[{'link': 'https://jobs.hawaiianpokebowl.be/en/data-analyst?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic', 'source': 'hawaiian poké bowl'}, {'link': 'https://www.roberthalf.com/be/fr/emploi/antwerp-antwerp/data-analyst/06520-0013290292-benl?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic', 'source': 'robert half'}, {'link': 'https://emplois.be.indeed.com/viewjob?jk=5b5bf6bf959b2dae&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic', 'source': 'indeed'}, {'link': 'https://be.linkedin.com/jobs/view/data-analyst-at-dela-belgium-4282819736?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic', 'source': 'linkedin'}, {'link': 'https://www.vdab.be/vindeenjob/vacatures/71388180/data-analyst?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic', 'source': 'vdab'}, {'link': 'https://be.jooble.org/jdp/-998259005818236212?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic', 'source': 'jooble'}, {'link': 'https://be.engineering.jobs/nl/vacature/data-analyst-7930097?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic', 'source': 'engineering.jobs'}, {'link': 'https://be.bebee.com/job/1b24a51de7be906d638fa361233a79f4?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic', 'source': 'bebee'}]"
Data Analyst,Square City,Antwerp,Full-Time,,2025-09-17,https://www.squarecity.be/jobs/senior-business-intelligence-data-analyst-6313/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,"[{'link': 'https://www.squarecity.be/jobs/senior-business-intelligence-data-analyst-6313/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic', 'source': 'square city'}, {'link': 'https://emplois.be.indeed.com/viewjob?jk=e4a16f780a8b7a33&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic', 'source': 'indeed'}, {'link': 'https://www.vdab.be/vindeenjob/vacatures/71207604/senior-business-intelligence-data-analyst?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic', 'source': 'vdab'}, {'link': 'https://www.tl-hub.be/fr/emploi/msc-belgium/business-intelligence-data-analyst-junior-senior?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic', 'source': 'tl hub'}, {'link': 'https://be.jooble.org/jdp/3877030300598942218?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic', 'source': 'jooble'}, {'link': 'https://fr.simplyhired.be/job/y3pfpjpis83kek4xlvd6zyjwpl999yo_w83jgsymb2ji8gnaviv17w?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic', 'source': 'simplyhired'}, {'link': 'https://be.bebee.com/job/3adfb58cbda1ea7c1936bf08e0192e77?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic', 'source': 'bebee'}, {'link': 'https://be.linkedin.com/jobs/view/senior-business-intelligence-data-analyst-at-msc-mediterranean-shipping-company-4301069380?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic', 'source': 'linkedin'}]"
Data Consultant,Vivid Resourcing,Antwerp,Contractor,,2025-10-08,https://be.linkedin.com/jobs/view/freelance-data-consultant-power-bi-junior-medior-at-vivid-resourcing-4309623332?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,"[{'link': 'https://be.linkedin.com/jobs/view/freelance-data-consultant-power-bi-junior-medior-at-vivid-resourcing-4309623332?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic', 'source': 'linkedin'}, {'link': 'https://www.recruit.net/job/freelance-data-consultant-power-bi-jobs/ec94c3e319dcc2ee?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic', 'source': 'recruit.net'}, {'link': 'https://www.jobilize.com/amp/job/be-antwerpen-freelance-data-consultant-power-bi-junior-medior-vivid?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic', 'source': 'jobilize'}, {'link': 'https://be.findjob24h.com/ja/data-analytics-engineer-freelance-job107560?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic', 'source': 'findjob24h.com'}]"
Data Analyst,Ictjob.Be,Antwerp,Part-Time And Contractor,,2025-10-10,https://www.vdab.be/vindeenjob/vacatures/71823290/data-analist-geen-ervaring-vereist?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,"[{'link': 'https://www.vdab.be/vindeenjob/vacatures/71823290/data-analist-geen-ervaring-vereist?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic', 'source': 'vdab'}, {'link': 'https://be.findjob24h.com/es/data-analist-engineer-job144820?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic', 'source': 'findjob24h.com'}]"
